Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ORN,Orion Group Holdings Inc. Common,$6.13,-0.01,-0.163%,186723312.00,United States,,176990,Basic Industries,Military/Government/Technical
OSG,Overseas Shipholding Group Inc. Class A Common Stock,$2.22,0.11,5.213%,191668300.00,United States,2015,3291295,Transportation,Marine Transportation
PAI,Western Asset Investment Grade Income Fund Inc.,$15.15,-0.05,-0.329%,144065819.00,United States,,13023,,
PBT,Permian Basin Royalty Trust Common Stock,$3.93,-0.19,-4.612%,183172568.00,United States,,221774,Energy,Oil & Gas Production
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,$9.16,0.08,0.881%,294466520.00,United States,2002,63575,,
PCM,PCM Fund Inc. Common Stock,$11.68,0.14,1.213%,136074675.00,United States,1993,32760,,
PEI,Pennsylvania Real Estate Investment Trust Common Stock,$2.04,-0.01,-0.488%,161711457.00,United States,,833292,Consumer Services,Real Estate Investment Trusts
PFD,Flaherty & Crumrine Preferred and Income Fund Incorporated,$18.30,0.44,2.464%,206888472.00,United States,1991,18608,,
PFO,Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,$13.23,0.08,0.608%,168375789.00,United States,1992,21776,,
PGP,Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest,$10.96,0.06,0.55%,121020320.00,United States,2005,67742,,
PGZ,Principal Real Estate Income Fund Common Shares of Beneficial Interest,$13.56,0.04,0.296%,93107326.00,,2013,32084,,
PHD,Pioneer Floating Rate Trust Pioneer Floating Rate Trust Shares of Beneficial Interest,$11.37,0.00,0.00%,281273038.00,United States,2004,72172,,
PHT,Pioneer High Income Trust Common Shares of Beneficial Interest,$9.32,-0.02,-0.214%,272440106.00,United States,,123712,,
PHX,PHX Minerals Inc. Common Stock,$2.82,-0.10,-3.425%,63265016.00,United States,,106396,Energy,Oil & Gas Production
PIM,Putnam Master Intermediate Income Trust Common Stock,$4.28,0.00,0.00%,219031427.00,United States,1988,186069,,
PINE,Alpine Income Property Trust Inc. Common Stock,$18.38,0.53,2.969%,137091917.00,United States,2019,84441,Consumer Services,Real Estate Investment Trusts
PKE,Park Aerospace Corp. Common Stock,$13.83,0.03,0.217%,281875122.00,United States,,73914,Capital Goods,Military/Government/Technical
PMVC,PMV Consumer Acquisition Corp. Class A Common Stock,$9.73,-0.02,-0.205%,212843750.00,United States,2020,1372,Finance,Business Services
PNF,PIMCO New York Municipal Income Fund Common Stock,$12.15,0.08,0.663%,95122350.00,United States,2001,8420,,
PNI,Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest,$11.45,0.03,0.263%,128114050.00,United States,2002,16299,,
PRT,PermRock Royalty Trust Trust Units,$5.72,-0.26,-4.348%,69587987.00,United States,2018,92656,Energy,Oil & Gas Production
PSTL,Postal Realty Trust Inc. Class A Common Stock,$17.11,-0.19,-1.098%,228016655.00,,2019,51270,Consumer Services,Real Estate Investment Trusts
